Category,Problem,Status
string,vowles_revrese.py,done
array,2sum.py,done
array,3sum_leetcode.py,done
array,3sum.py,done
array,array_leaders.py,done
array,arraysubset.py,done
array,arthmetic.py,done
array,bad_version.py,done
array,candies.py,done
array,check.py,done
array,concation_arr.py,done
array,Container_Most _Water.py,done
array,contains_duplicates.py,done
array,contains_duplicates2.py,done
array,continous_sub_sum.py,done
array,Delete_Element.py,done
array,diff_bw_arr.py,done
array,Distinct.py,done
array,equlbrim.py,done
array,findMissingNumber.py,done
array,flowers_bed.py,done
array,happy_number.py,done
array,Harmonious_Subsequence.py,done
array,Indexes_Subarray_Sum.py,done
array,Insert_Element.py,done
array,kth.py,done
array,large_and_small_between.py,done
array,max_diffrence.py,done
array,max_product_3_no.py,done
array,max_subbarray1.py,done
array,max.py,done
array,Maximum_Product_Subarray.py,done
array,Maximum_Subarray.py,done
array,merge_2array.py,done
array,Min_Number_sor_rot_array.py,done
array,move_zero.py,done
array,peakelemen.py,done
array,Product_Array_Except_Self.py,done
array,remove_element.py,done
array,reverse_arr.py,done
array,reverse_number.py,done
array,rotate_array.py,done
array,search_and_insert.py,done
array,Search_Rotated_Sorted_Array.py,done
array,Second_Largest.py,done
array,sequence_len_k.py,done
array,Single_Number.py,done
array,"Sort 0s,1s,2s",done
array,Stock_Buy_and_Sell.py,done
array,subarray_equalto_k.py,done
array,Swap.py,done
array,top_k_frequent.py,done
array,unique_accurence.py,done
array,valueEqualsIndex.py,done
linkedlist,Add_Number_Linked_Lists.py,To-Do
linkedlist,Clone_with_Next_Random.py,To-Do
linkedlist,Detect_loop_linkedlist.py,To-Do
linkedlist,double_linkedlist.py,To-Do
linkedlist,Kth_End_Linked_List.py,To-Do
linkedlist,Linked_Group_Reverse.py,To-Do
linkedlist,linkedlist.py,To-Do
linkedlist,Merge_2_sorted_linked_.py,To-Do
linkedlist,middle_linked_list.py,To-Do
linkedlist,Palindrome_Linked_List.py,To-Do
linkedlist,Rearrang_linked_list.py,To-Do
linkedlist,Remove_Duplicates.py,To-Do
linkedlist,Remove_loop_Linked.py,To-Do
linkedlist,Remove_Nth_End+List.py,To-Do
linkedlist,Reorder_List.py,To-Do
linkedlist,reverse_likedlist2.py,To-Do
linkedlist,Reverse_linkedList.py,To-Do
linkedlist,single_linkedlist.py,To-Do
math_types_dsa,factorial_number.py,To-Do
math_types_dsa,Fibonacci_Sequence.py,To-Do
math_types_dsa,GCD.py,To-Do
math_types_dsa,matrixmultiplication.py,To-Do
math_types_dsa,no_of_Fibonacci.py,To-Do
math_types_dsa,palindrome_math.py,To-Do
math_types_dsa,plus_one.py,To-Do
math_types_dsa,prime_numbers.py,To-Do
math_types_dsa,Sum_permutations.py,To-Do
matrix,rotate_image.py,To-Do
matrix,searh_in_matrix.py,To-Do
matrix,set_matrix_zero.py,To-Do
opp,Abstraction.py,To-Do
opp,encapsulation.py,To-Do
opp,inheritance.py,To-Do
opp,inheritance1.py,To-Do
opp,object.py,To-Do
opp,Polymorphism.py,To-Do
opp,Polymorphism1.py,To-Do
opp,practice.py,To-Do
dsa problems,practice.py,To-Do
dsa problems,practice1.py,To-Do
dsa problems,practice2.py,To-Do
dsa problems,practice3.py,To-Do
sorting,binarysearch.py,To-Do
sorting,bubblesort.py,To-Do
sorting,insertionsort.py,To-Do
sorting,linearsearchanumber.py,To-Do
sorting,mergesort.py,To-Do
sorting,Quick_sort.py,To-Do
sorting,selectionsort.py,To-Do
Stack,Evaluate_Reverse_Notation.py,To-Do
Stack,Min_stack.py,To-Do
Stack,queue_using_stack.py,To-Do
Stack,stack_using_linkedlust.py,To-Do
Stack,stack_using_queue.py,To-Do
Stack,Stock_Span.py,To-Do
Stack,Trapping_Rain_Water.py,To-Do
string,encode_decode.py,To-Do
string,gcd_string.py,To-Do
string,Group_Anagrams.py,To-Do
string,Integer_to_Roman.py,To-Do
string,is_subsequence.py,To-Do
string,Isomorphic_Strings.py,To-Do
string,linearsearchastring.py,To-Do
string,logest_common_prefic.py,To-Do
string,Longe_Substring_out_Repeatin.py,To-Do
string,Longest Palindromic_Substring.py,To-Do
string,Longest_Repeating_Repla.py,To-Do
string,merge_two_strings.py,To-Do
string,remove_duplicates.py,To-Do
string,Reverse Words.py,To-Do
string,reverse_string.py,To-Do
string,Roman_to_Integer.py,To-Do
string,String_Ro_2_Place.py,To-Do
string,Substring_Search.py,To-Do
string,Valid_Anagram.py,To-Do
string,Valid_Palindrome.py,To-Do
string,Valid_Parentheses.py,To-Do
string,word_pattern.py,To-Do
trees,balance_tree.py,To-Do
trees,diameter_of_tree.py,To-Do
trees,hight_of_the_tree.py,To-Do
trees,Invert Binary Tree.py,To-Do
trees,level_order_bt.py,To-Do
trees,min_heap.py,To-Do
trees,preorder.py,To-Do
trees,recursive_dfs.py,To-Do
trees,same_tree.py,To-Do
trees,tree.py,To-Do
trees,valid_binary_tree.py,To-Do
